litter,trt,time,status
1,1,101.0,0
1,0,49.0,1
1,0,104.0,0
2,1,104.0,0
2,0,102.0,0
2,0,104.0,0
3,1,104.0,0
3,0,104.0,0
3,0,104.0,0
4,1,77.0,0
4,0,97.0,0
4,0,79.0,0
5,1,89.0,0
5,0,104.0,0
5,0,104.0,0
6,1,88.0,1
6,0,96.0,1
6,0,104.0,0
7,1,104.0,1
7,0,94.0,0
7,0,77.0,1
8,1,95.9,1
8,0,104.0,0
8,0,104.0,0
9,1,82.0,0
9,0,77.0,0
9,0,104.0,0
10,1,70.0,1
10,0,104.0,0
10,0,77.0,0
11,1,88.9,1
11,0,91.0,0
11,0,90.0,0
12,1,91.0,0
12,0,70.0,0
12,0,92.0,0
13,1,39.0,1
13,0,45.0,0
13,0,50.0,1
14,1,102.9,1
14,0,69.0,0
14,0,91.0,0
15,1,93.0,0
15,0,104.0,0
15,0,103.0,0
16,1,85.0,0
16,0,72.0,0
16,0,104.0,0
17,1,104.0,0
17,0,63.0,0
17,0,104.0,0
18,1,104.0,0
18,0,104.0,0
18,0,74.0,0
19,1,81.0,0
19,0,104.0,0
19,0,69.0,0
20,1,67.0,1
20,0,104.0,0
20,0,68.0,1
21,1,104.0,0
21,0,104.0,0
21,0,104.0,0
22,1,104.0,0
22,0,104.0,0
22,0,104.0,0
23,1,104.0,0
23,0,83.0,0
23,0,40.0,1
24,1,87.0,0
24,0,104.0,0
24,0,104.0,0
25,1,104.0,0
25,0,104.0,0
25,0,104.0,0
26,1,89.0,0
26,0,104.0,0
26,0,104.0,0
27,1,78.0,0
27,0,104.0,0
27,0,104.0,0
28,1,104.0,0
28,0,81.0,1
28,0,64.0,1
29,1,86.0,1
29,0,55.0,1
29,0,94.0,0
30,1,34.0,1
30,0,104.0,0
30,0,54.0,1
31,1,76.0,0
31,0,87.0,0
31,0,74.0,0
32,1,102.8,1
32,0,73.0,1
32,0,83.9,1
33,1,101.9,1
33,0,104.0,0
33,0,80.0,0
34,1,79.9,1
34,0,104.0,0
34,0,73.0,0
35,1,45.0,1
35,0,79.0,0
35,0,104.0,0
36,1,94.0,1
36,0,104.0,0
36,0,104.0,0
37,1,104.0,0
37,0,104.0,0
37,0,104.0,0
38,1,104.0,0
38,0,101.0,1
38,0,94.0,0
39,1,76.0,0
39,0,84.0,1
39,0,78.0,1
40,1,80.0,1
40,0,80.9,1
40,0,76.0,0
41,1,72.0,1
41,0,95.0,0
41,0,104.0,0
42,1,72.9,1
42,0,104.0,0
42,0,66.0,1
43,1,92.0,1
43,0,104.0,0
43,0,102.0,1
44,1,104.0,0
44,0,98.0,0
44,0,73.0,0
45,1,55.0,0
45,0,104.0,0
45,0,104.0,0
46,1,49.0,0
46,0,83.0,0
46,0,77.0,0
47,1,89.0,1
47,0,104.0,0
47,0,104.0,0
48,1,88.0,0
48,0,79.0,0
48,0,99.0,0
49,1,103.0,1
49,0,91.0,0
49,0,104.0,0
50,1,104.0,0
50,0,104.0,0
50,0,79.0,1